Test,Frog1,Frog2,Frog3,Frog4
1,4,4.5,4,5
2,3,4.75,5,4.5
3,5,5,4,5
4,4,4,5.5,6
5,5,4,6,4
6,4.5,5,5.25,4.5
7,5,3.75,5,4
8,4.25,5,4.5,5
9,4,6,4,4
10,3.75,4,4.5,5.5
